iter	Passed	Remaining
165	5842	82148
166	5872	82037
167	5903	81942
168	5939	81927
169	5974	81887
170	6010	81860
171	6044	81812
172	6078	81760
173	6114	81734
174	6147	81668
175	6176	81559
176	6207	81469
177	6244	81464
178	6283	81469
179	6314	81386
180	6348	81340
181	6382	81284
182	6413	81203
183	6444	81111
184	6473	81006
185	6506	80952
186	6546	80973
187	6581	80939
188	6614	80884
189	6640	80739
190	6675	80704
191	6719	80772
192	6749	80684
193	6781	80603
194	6813	80536
195	6844	80457
196	6878	80409
197	6908	80325
198	6948	80339
199	6982	80294
200	7015	80246
201	7052	80225
202	7084	80160
203	7119	80127
204	7151	80057
205	7185	80022
206	7216	79944
207	7247	79860
208	7280	79810
209	7315	79777
210	7353	79770
211	7381	79660
212	7414	79605
213	7443	79513
214	7480	79497
215	7512	79436
216	7542	79355
217	7580	79348
218	7616	79326
219	7649	79277
220	7687	79271
221	7715	79169
222	7751	79150
223	7785	79108
224	7821	79085
225	7856	79054
226	7886	78973
227	7921	78937
228	7955	78898
229	7986	78822
230	8019	78772
231	8054	78743
232	8089	78712
233	8121	78643
234	8151	78569
235	8191	78585
236	8228	78571
237	8265	78560
238	8297	78500
239	8335	78493
240	8373	78487
241	8409	78464
242	8438	78376
243	8465	78272
244	8509	78324
245	8545	78296
246	8578	78250
247	8606	78153
248	8639	78106
249	8673	78065
250	8704	77989
251	8739	77959
252	8775	77935
253	8804	77855
254	8834	77779
255	8869	77747
256	8901	77688
257	8936	77655
258	8963	77558
259	8995	77501
260	9022	77401
261	9056	77356
262	9087	77296
263	9113	77185
264	9141	77100
265	9172	77036
266	9207	77001
267	9241	76964
268	9275	76927
269	9307	76877
270	9341	76831
271	9368	76736
272	9397	76657
273	9429	76608
274	9461	76549
275	9496	76524
276	9528	76466
277	9559	76404
278	9591	76356
279	9629	76349
280	9667	76344
281	9703	76320
282	9737	76284
283	9771	76248
284	9801	76173
285	9835	76137
286	9867	76087
287	9900	76038
288	9937	76026
289	9973	76008
290	10005	75953
291	10031	75858
292	10062	75796
293	10096	75756
294	10131	75727
295	10162	75671
296	10192	75599
297	10220	75522
298	10248	75441
299	10275	75353
300	10313	75349
301	10343	75282
302	10374	75224
303	10411	75205
304	10440	75137
305	10476	75117
306	10509	75073
307	10540	75017
308	10583	75040
309	10620	75025
310	10656	75008
311	10685	74938
312	10714	74862
313	10749	74836
314	10786	74817
315	10814	74740
316	10846	74693
317	10888	74712
318	10920	74662
319	10955	74635
320	11001	74681
321	11035	74645
322	11071	74618
323	11105	74587
324	11137	74534
325	11182	74569
326	11212	74508
327	11252	74515
328	11293	74520
329	11324	74467
330	11362	74454
331	11400	74443
332	11433	74400
333	11461	74327
334	11494	74286
335	11528	74249
336	11563	74221
337	11599	74194
338	11633	74160
339	11660	74080
340	11688	74005
341	11726	73992
342	11758	73945
343	11790	73896
344	11817	73816
345	11848	73761
346	11884	73740
347	11913	73671
348	11943	73612
349	11978	73582
350	12012	73548
351	12051	73543
352	12090	73537
353	12123	73495
354	12151	73423
355	12182	73365
356	12220	73356
357	12255	73326
358	12290	73296
359	12326	73273
360	12353	73199
361	12388	73170
362	12426	73152
363	12459	73114
364	12489	73055
365	12519	72995
366	12551	72946
367	12582	72897
368	12613	72846
369	12644	72791
370	12684	72793
371	12724	72790
372	12756	72745
373	12791	72713
374	12830	72708
375	12859	72644
376	12902	72658
377	12933	72606
378	12962	72540
379	12993	72489
380	13020	72415
381	13054	72380
382	13094	72379
383	13130	72352
384	13163	72311
385	13200	72296
386	13229	72234
387	13262	72192
388	13301	72184
389	13330	72120
390	13359	72057
391	13388	71995
392	13427	71987
393	13457	71935
394	13487	71878
395	13515	71810
396	13544	71746
397	13573	71688
398	13607	71651
399	13645	71638
400	13674	71578
401	13707	71535
402	13734	71466
403	13773	71459
404	13810	71439
405	13842	71393
406	13873	71342
407	13906	71305
408	13944	71291
409	13979	71259
410	14012	71223
411	14042	71164
412	14074	71122
413	14108	71086
414	14141	71047
415	14177	71024
416	14207	70970
417	14241	70932
418	14278	70915
419	14313	70884
420	14348	70854
421	14382	70822
422	14419	70800
423	14448	70744
424	14479	70693
425	14507	70632
426	14537	70576
427	14573	70553
428	14602	70495
429	14636	70457
430	14668	70415
431	14699	70365
432	14732	70327
433	14771	70315
434	14798	70250
435	14830	70208
436	14866	70180
437	14904	70168
438	14932	70105
439	14962	70052
440	15003	70048
441	15042	70037
442	15075	70002
443	15111	69974
444	15143	69931
445	15179	69905
446	15222	69914
447	15259	69893
448	15291	69852
449	15322	69803
450	15352	69751
451	15389	69728
452	15421	69686
453	15450	69629
454	15478	69570
455	15508	69518
456	15541	69476
457	15570	69420
458	15610	69412
459	15651	69410
460	15681	69358
461	15710	69301
462	15745	69273
463	15775	69220
464	15808	69181
465	15842	69149
466	15878	69123
467	15908	69074
468	15941	69032
469	15972	68988
470	16013	68982
471	16044	68938
472	16080	68909
473	16114	68878
474	16150	68851
475	16180	68800
476	16209	68744
477	16241	68702
478	16271	68652
479	16305	68617
480	16342	68596
481	16377	68567
482	16410	68530
483	16443	68490
484	16475	68450
485	16506	68404
486	16540	68371
487	16575	68341
