iter	RMSE
177	57662.81053
178	57661.01341
179	57657.828
180	57652.66185
181	57649.15503
182	57648.22602
183	57645.15895
184	57641.71348
185	57637.22553
186	57634.36312
187	57630.67656
188	57622.87811
189	57622.10415
190	57604.40778
191	57602.09697
192	57600.19911
193	57597.14515
194	57595.08208
195	57590.93112
196	57586.66062
197	57584.75489
198	56897.96039
199	56358.69509
200	56351.55699
201	56348.90684
202	56326.1836
203	56324.01802
204	56323.08381
205	56321.55431
206	56319.97695
207	56317.07165
208	56312.46733
209	56309.13085
210	55638.02122
211	55637.31458
212	55633.80428
213	55633.07415
214	54971.16259
215	54318.19968
216	54312.28954
217	54307.99884
218	54304.10868
219	53659.56696
220	53652.32469
221	53651.2584
222	53648.90339
223	53012.95819
224	53010.87619
225	52997.87943
226	52995.49954
227	52496.03358
228	52002.07752
229	52000.63722
230	51988.41378
231	51984.62084
232	51977.49261
233	51976.32588
234	51974.36091
235	51969.19711
236	51965.08664
237	51946.84417
238	51944.56142
239	51940.43133
240	51929.96508
241	51928.93558
242	51925.69333
243	51924.03868
244	51922.31029
245	51920.39717
246	51918.80182
247	51918.08027
248	51916.71222
249	51915.44868
250	51912.19876
251	51904.89423
252	51875.37916
253	51874.33274
254	51873.28378
255	51258.62195
256	51255.73587
257	51251.32956
258	51248.36744
259	51246.11435
260	51244.63015
261	51242.52718
262	51239.09065
263	51238.0607
264	51237.43753
265	50631.87319
266	50034.15029
267	50028.28625
268	49736.35079
269	49733.65684
270	49731.24536
271	49730.06993
272	49728.231
273	49141.89024
274	49141.25219
275	49138.35821
276	49136.83818
277	49126.15772
278	49121.80122
279	48853.59949
280	48850.85218
281	48847.60103
282	48842.63018
283	48267.97605
284	48264.83545
285	48262.84686
286	48261.13211
287	48257.98073
288	47805.76883
289	47433.67348
290	47430.14246
291	47428.01763
292	47425.00303
293	47419.60971
294	46862.47516
295	46857.96244
296	46854.3266
297	46853.54053
298	46851.03462
299	46848.47069
300	46419.67519
301	46418.34321
302	46415.61417
303	46117.67759
304	46115.30649
305	46111.75812
306	46107.92988
307	46103.12327
308	45797.58646
309	45539.50043
310	45007.1572
311	45005.65658
312	45003.76481
313	44478.58657
314	43960.15658
315	43957.97155
316	43954.39421
317	43943.80479
318	43605.66739
319	43099.10311
320	43096.02055
321	43094.17746
322	42594.24266
323	42591.8806
324	42585.23755
325	42091.67108
326	42089.38976
327	42086.97546
328	42083.22062
329	42076.85996
330	41589.79619
331	41208.83499
332	41204.86609
333	41202.54967
334	41058.79965
335	41054.60043
336	41051.53709
337	40578.22341
338	40576.39205
339	40575.69713
340	40574.52745
341	40106.97693
342	40104.79629
343	40100.45052
344	40098.16103
345	39637.29445
346	39182.61201
347	39180.25833
348	39177.89761
349	38729.29557
350	38286.94341
351	38283.92338
352	37847.36334
353	37844.80908
354	37843.9593
355	37842.78457
356	37838.5144
357	37834.83678
358	37832.51981
359	37401.39951
360	37399.04631
361	37396.17403
362	36971.22783
363	36969.46056
364	36967.27168
365	36964.66106
366	36961.92385
367	36960.08484
368	36958.20015
369	36956.04482
370	36953.97455
371	36931.55538
372	36512.29874
373	36491.17923
374	36488.41233
375	36486.50977
376	36483.64148
377	36480.97906
378	36478.9383
379	36476.91483
380	36475.52791
381	36473.93633
382	36470.35397
383	36467.88561
384	36054.12669
385	35646.29719
386	35645.57302
387	35643.12404
388	35641.38584
389	35640.24021
390	35639.13683
391	35638.07448
392	35634.8056
393	35633.36472
394	35630.50001
395	35628.20538
396	35626.77024
397	35624.54802
398	35623.37922
399	35221.18367
400	35219.65933
401	35218.2846
402	35216.43478
403	35212.88049
404	35211.31982
405	35209.40558
406	35208.12413
407	35206.52429
408	34809.17388
409	34805.05627
410	34802.79246
411	34802.03264
412	34800.28807
413	34488.40055
414	34485.76586
415	34484.03156
416	34482.32824
417	34094.87374
418	33712.83753
419	33711.17771
420	33707.06621
421	33704.6891
422	33702.86908
423	33700.62738
424	33698.42632
425	33696.22286
426	33694.00939
427	33317.597
428	33316.80507
429	33315.17665
430	33313.13055
431	33311.26965
432	33309.6902
433	33063.25803
434	33062.32677
435	32835.12666
436	32470.57853
437	32239.31761
438	32238.12053
439	32235.48843
440	32233.2479
441	32177.62843
442	32175.9433
443	32174.2858
444	32171.99871
445	32168.31924
446	31937.58094
447	31935.26032
448	31933.6318
449	31931.76275
